time_s,displacement
5.311999999999999963e-05,-2.489725884355791923e-11
5.327999999999999810e-05,4.152940468511616424e-12
5.344000000000000334e-05,2.492526920408039555e-11
5.360000000000000181e-05,1.368302075246536216e-11
5.376000000000000028e-05,1.861876006972313231e-11
5.391999999999999875e-05,1.942067936458031081e-11
5.408000000000000399e-05,-5.460689422352411651e-13
5.424000000000000246e-05,-9.637361451418320383e-13
5.440000000000000093e-05,-7.354164262372948890e-12
5.455999999999999939e-05,-1.586665271955261662e-11
5.471999999999999786e-05,-4.413458238325823529e-11
5.488000000000000311e-05,-4.438076740007495985e-11
5.504000000000000158e-05,-3.189903994291626205e-11
5.520000000000000004e-05,-1.037579668581184027e-11
5.535999999999999851e-05,-8.170167777131583086e-12
5.552000000000000376e-05,1.000532675243376719e-11
5.568000000000000222e-05,2.815379913033152655e-12
5.584000000000000069e-05,2.698110288574976808e-12
5.599999999999999916e-05,2.562241813988247881e-11
5.616000000000000440e-05,1.260256124587927769e-11
5.632000000000000287e-05,3.291182853462210162e-11
5.648000000000000134e-05,4.052617171837041937e-11
5.663999999999999981e-05,1.042894145477774455e-11
5.679999999999999828e-05,2.162116221606908280e-11
5.696000000000000352e-05,1.222787225077088120e-11
5.712000000000000199e-05,1.113822131184733362e-11
5.728000000000000046e-05,8.308851760697903722e-12
5.743999999999999893e-05,-1.188407976757549083e-11
5.760000000000000417e-05,-1.772909347672474016e-11
5.776000000000000264e-05,2.278872673031649306e-12
5.792000000000000111e-05,-8.959914517357832330e-12
5.807999999999999957e-05,-1.155813910422725659e-11
5.823999999999999804e-05,-1.173036290506541715e-13
5.840000000000000329e-05,1.876622759091099954e-13
5.856000000000000175e-05,1.223306427813447979e-11
5.872000000000000022e-05,1.616176539256514584e-11
5.887999999999999869e-05,1.462655940245433524e-11
5.904000000000000394e-05,1.113289484341434683e-11
5.920000000000000240e-05,7.304392224317839145e-12
5.936000000000000087e-05,8.114444770192134904e-12
5.951999999999999934e-05,4.483363223640905738e-12
5.968000000000000458e-05,2.671426609437175688e-12
5.984000000000000305e-05,2.584561252949483686e-12
6.000000000000000152e-05,3.903043685557387744e-12
6.015999999999999999e-05,-4.872751617567112880e-12
6.031999999999999846e-05,1.976022425981164728e-12
6.048000000000000370e-05,4.879529179584067578e-12
6.064000000000000217e-05,-1.058264511308731475e-11
6.080000000000000064e-05,-1.765642937976302367e-11
6.095999999999999910e-05,-9.359691083375805398e-12
6.111999999999999757e-05,1.570750723369890718e-11
6.127999999999999604e-05,1.317478060111193923e-11
6.144000000000000806e-05,4.130428203022344658e-12
6.160000000000000653e-05,1.162554503488916620e-11
6.176000000000000500e-05,-2.202638041585676146e-13
6.192000000000000347e-05,1.868036431702694729e-12
6.208000000000000193e-05,5.421261203407305729e-12
6.224000000000000040e-05,-5.513975670588917843e-12
6.239999999999999887e-05,2.544816343199713256e-11
6.255999999999999734e-05,1.163325501337814512e-11
6.271999999999999581e-05,-2.776353203457354173e-11
6.288000000000000783e-05,-2.023410356497428868e-11
6.304000000000000630e-05,-2.929186505027253545e-11
6.320000000000000476e-05,-1.645927242286276542e-11
6.336000000000000323e-05,-2.053248306187301479e-12
6.352000000000000170e-05,3.602615925630995749e-12
6.368000000000000017e-05,1.709012347741584588e-11
6.383999999999999864e-05,2.758161309892720876e-11
6.399999999999999710e-05,1.885241344414940041e-11
6.415999999999999557e-05,4.658785400425584378e-12
6.432000000000000759e-05,8.715627502260574211e-12
6.448000000000000606e-05,1.499145532972316227e-12
6.464000000000000453e-05,3.912320444605825465e-12
6.480000000000000300e-05,-1.456100095229434093e-11
